	kirian	hops	stanza	trankit	udify
a	2.5789478601604623	-0.8874780068145609	0.589816209859342	1.4063341208917666	5.740496641313294
b	0.07475989480864617	0.0935699804627731	0.09018919380560801	0.043237923588845574	0.06217868807557371
c	-4.158420766237034	5.328808175926201	-0.14516564425402476	-0.9326161093899136	8.792249283052278
